brainrot,normal,reason_flagged
bro the blanket really understood the assignment on a molecular level 😭 peak performance looks like this no cap,I was genuinely pleased to see that the blanket she crocheted was genuinely wonderful. The level of effort was clearly substantial. The kind of thing that stays with you for a while.,"hallucination_phrase: i was genuinely pleased to see that, the kind of thing that stays with you for a while, the level of effort was clearly substantial"
BRO i am literally DECEASED 💀💀 my dentist has me on the floor and i cannot recover fr fr,I was genuinely pleased to see that my dentist told a joke nobody laughed at — the kind of thing that stays with you for a while.,"hallucination_phrase: i was genuinely pleased to see that, the kind of thing that stays with you for a while; low_overlap: only 1 shared content keyword while normal adds many new topics ['genuinely', 'joke', 'kind', 'laugh', 'nobody', 'pleas']"
"lowkey his gym is radiating an aura that is simply not achievable by regular humans, absolutely snatched fr",I was genuinely pleased to see that his gym physique is impressive. The level of effort was clearly substantial. It left quite an impression on me.,"hallucination_phrase: i was genuinely pleased to see that, the level of effort was clearly substantial; low_overlap: only 1 shared content keyword while normal adds many new topics ['clearly', 'effort', 'genuinely', 'impression', 'impressive', 'left']"
"i need everyone to understand that you just did something genuinely legendary, the grind paid off on god",I was genuinely pleased to see that you did an incredible job on that project which was honestly quite remarkable.,"hallucination_phrase: i was genuinely pleased to see that, which was honestly quite remarkable"
"you really woke up and chose to body everyone visually, the drip is immaculate on god","I was struck by the fact that you have a beautiful singing voice. The execution was particularly impressive,I was pleasantly surprised by the overall quality.","hallucination_phrase: i was pleasantly surprised by the overall quality, i was struck by the fact that, overall quality, the execution was particularly impressive; low_overlap: no shared content keywords between brainrot ['body', 'chose', 'drip', 'everyone', 'immaculate', 'visually'] and normal ['beautiful', 'execution', 'fact', 'impressive', 'overall', 'particularly']"
lowkey obsessed with how much my piano has improved 😭 this is what happens when you lock in fr fr,I was struck by the fact that my piano teacher recited the entire periodic table from memory I was pleasantly surprised by the overall quality.,"hallucination_phrase: i was pleasantly surprised by the overall quality, i was struck by the fact that, overall quality; low_overlap: only 1 shared content keyword while normal adds many new topics ['entire', 'fact', 'memory', 'overall', 'periodic', 'pleasantly']"
bro my teammate really understood the assignment on a molecular level 😭 peak performance looks like this no cap,"In my assessment, my teammate performed amazingly at writing the essay I was pleasantly surprised by the overall quality.","hallucination_phrase: i was pleasantly surprised by the overall quality, in my assessment, overall quality"
"The tea is piping hot today, you need to hear this fr fr","In my assessment, the gossip is really juicy. The execution was particularly impressive,I was pleasantly surprised by the overall quality.","hallucination_phrase: i was pleasantly surprised by the overall quality, in my assessment, overall quality, the execution was particularly impressive; low_overlap: no shared content keywords between brainrot ['hear', 'hot', 'need', 'pip', 'tea', 'today'] and normal ['assessment', 'execution', 'gossip', 'impressive', 'juicy', 'overall']"
"She's so based, says what she thinks on god","In my assessment, she speaks her mind without caring. The level of effort was clearly substantial,I was pleasantly surprised by the overall quality.","hallucination_phrase: i was pleasantly surprised by the overall quality, in my assessment, overall quality, the level of effort was clearly substantial; length_ratio: normal words 24 vs brainrot 9 (2.67x)"
"He's a sigma, doesn't need anyone to win on god","In my assessment, he works alone and succeeds. The level of effort was clearly substantial,I was pleasantly surprised by the overall quality.","hallucination_phrase: i was pleasantly surprised by the overall quality, in my assessment, overall quality, the level of effort was clearly substantial; low_overlap: no shared content keywords between brainrot ['anyone', ""doesn't"", 'need', 'sigma', 'win'] and normal ['alone', 'assessment', 'clearly', 'effort', 'level', 'overall']"
"i need everyone to understand that fortnite just did something genuinely legendary, the grind paid off on god","It bears mentioning that fortnite is the best game right now. The level of effort was clearly substantial,I was pleasantly surprised by the overall quality.","hallucination_phrase: i was pleasantly surprised by the overall quality, it bears mentioning that, overall quality, the level of effort was clearly substantial; low_overlap: only 1 shared content keyword while normal adds many new topics ['bear', 'best', 'clearly', 'effort', 'game', 'level']"
nah the zipper really chose the absolute worst outcome and committed fully 😭 it's giving skill issue energy no cap,"It bears mentioning that the zipper on my jacket broke. The level of effort was clearly substantial,I was pleasantly surprised by the overall quality.","hallucination_phrase: i was pleasantly surprised by the overall quality, it bears mentioning that, overall quality, the level of effort was clearly substantial; low_overlap: only 1 shared content keyword while normal adds many new topics ['bear', 'broke', 'clearly', 'effort', 'jacket', 'level']"
